t_start_ms,i,o,h,l,c,v,n
1760835000000,RB2501,2999.84,3008.86,2992.41,3005.58,14868,298
1760835000000,HC2501,2999.79,2999.94,2988.96,2998.53,15681,298
t_start_ms,i,o,h,l,c,v,n
t_start_ms,i,o,h,l,c,v,n
1760857920000,RB2501,2999.74,3010.35,2996.58,3006.46,7473,149
1760857920000,HC2501,3000.98,3000.98,2991.78,2993.64,7752,149
1760857980000,RB2501,3006.39,3057.15,2997.95,3021.95,193103,3812
1760857980000,HC2501,2993.85,3024.19,2928.32,2933.24,192906,3812
1760858040000,RB2501,3020.98,3112.35,3016.94,3104.69,193149,3796
1760858040000,HC2501,2934.05,2953.15,2897.64,2898.45,193901,3796
1760858100000,RB2501,3103.79,3103.98,3062.84,3076.43,194029,3803
1760858100000,HC2501,2897.56,2981.64,2894.41,2956.94,192310,3803
1760858160000,RB2501,3076.26,3083.88,3028.78,3032.7,191291,3793
1760858160000,HC2501,2956.2,2991.61,2953.39,2967.77,192690,3793
1760858220000,RB2501,3032.28,3042,2951.77,2992.34,190774,3792
1760858220000,HC2501,2967.01,2980.26,2924.62,2924.62,192327,3792
1760858280000,RB2501,2991.9,2994.09,2949.73,2992.25,194008,3788
1760858280000,HC2501,2925.57,2946.37,2908.36,2917.04,193281,3788
1760858340000,RB2501,2991.63,3013.5,2974.84,3012.75,193052,3777
1760858340000,HC2501,2917.25,2953.42,2910.71,2941.81,192866,3777
1760858400000,RB2501,3013.7,3050.53,3004.35,3034.61,193866,3789
1760858400000,HC2501,2942.1,2972.52,2927.87,2954.47,190135,3789
1760858460000,RB2501,3033.75,3093.39,3031.12,3065.44,193607,3800
1760858460000,HC2501,2954.94,2962.16,2897.71,2913.27,194783,3800
1760858520000,RB2501,3064.63,3104.71,3042.38,3047.14,192428,3785
1760858520000,HC2501,2913.3,2928.15,2879.73,2890.05,194875,3785
1760858580000,RB2501,3047.7,3062.15,3028.28,3061.03,192675,3785
1760858580000,HC2501,2890.11,2937.48,2884.57,2897.38,192859,3785
1760858640000,RB2501,3060.1,3084.68,3020.91,3028.96,194634,3777
1760858640000,HC2501,2897.96,2925.35,2880.04,2913.42,190675,3777
1760858700000,RB2501,3029.85,3058.38,3020.54,3029.17,193516,3795
1760858700000,HC2501,2913.37,2960.83,2911.31,2958.83,193716,3795
1760858760000,RB2501,3030.13,3104.92,3024.62,3097.04,193487,3800
1760858760000,HC2501,2958.36,2969.79,2895.72,2909.13,195083,3800
1760858820000,RB2501,3096.45,3132.85,3091.11,3123.81,195713,3802
1760858820000,HC2501,2908.68,2914.64,2830.42,2855.68,192732,3802
1760858880000,RB2501,3124.6,3140.62,3087.15,3102.58,195422,3804
1760858880000,HC2501,2856.56,2856.56,2805.17,2828.06,193220,3804
1760858940000,RB2501,3102.67,3116.11,3040.88,3064.59,194233,3788
1760858940000,HC2501,2827.35,2868.63,2810.29,2849.37,194465,3788
1760859000000,RB2501,3064.61,3087.8,3025.53,3087.8,192629,3774
1760859000000,HC2501,2849.81,2854.08,2789.22,2797.21,192815,3774
1760859060000,RB2501,3086.98,3105.17,3052.1,3100.68,192121,3794
1760859060000,HC2501,2797.11,2813.08,2770.08,2777.09,191708,3794
1760859120000,RB2501,3100.21,3139.17,3083.19,3139.17,195652,3783
1760859120000,HC2501,2776.72,2853.21,2769.47,2844.37,194136,3783
1760859180000,RB2501,3138.41,3180.97,3114.47,3136.48,193180,3788
1760859180000,HC2501,2843.5,2853.46,2813.15,2813.46,194353,3788
1760859240000,RB2501,3135.94,3153.31,3093.17,3093.17,194957,3787
1760859240000,HC2501,2812.89,2868.29,2810.77,2845.78,192936,3787
1760859300000,RB2501,3094.06,3121.11,3066.84,3120.24,192622,3786
