t_start_ms,i,o,h,l,c,v,n
1760835055000,RB2501,2999.84,3008.86,2992.41,3005.58,14868,298
1760835055000,HC2501,2999.79,2999.94,2988.96,2998.53,15681,298
t_start_ms,i,o,h,l,c,v,n
1760857945000,RB2501,3000.04,3001.18,2997.57,3001.18,1482,28
1760857945000,HC2501,3000.19,3000.43,2994.84,2996,1475,28
1760857950000,RB2501,3000.73,3003.96,2991.5,3001.63,15884,320
1760857950000,HC2501,2995.09,3000.4,2987.15,2989.52,16325,320
1760857955000,RB2501,3002.29,3010.11,2998.89,3006.87,16134,319
1760857955000,HC2501,2988.91,2990.64,2978.77,2981.28,15921,319
t_start_ms,i,o,h,l,c,v,n
1760857975000,RB2501,2999.74,3010.35,2996.58,3006.46,7473,149
1760857975000,HC2501,3000.98,3000.98,2991.78,2993.64,7752,149
1760857980000,RB2501,3006.39,3010.11,3000.69,3000.84,16224,316
1760857980000,HC2501,2993.85,3013.35,2990.36,3007.39,15718,316
1760857985000,RB2501,3000.96,3020.41,2997.95,3018.09,16124,321
1760857985000,HC2501,3008.28,3014.05,2997.22,3011.02,16304,321
1760857990000,RB2501,3018.28,3024.75,3011.87,3024.08,16554,320
1760857990000,HC2501,3011,3024.19,3006.1,3007.02,16451,320
1760857995000,RB2501,3024.5,3032.58,3021.11,3032.56,15536,316
1760857995000,HC2501,3006.72,3011.43,2987.84,2989.01,15818,316
1760858000000,RB2501,3032.7,3048.32,3030.77,3047.32,16821,319
1760858000000,HC2501,2989.87,2990.75,2969.51,2970.29,15950,319
1760858005000,RB2501,3047.64,3057.15,3041.36,3043.39,15886,318
1760858005000,HC2501,2969.91,2975.11,2953.01,2955.57,16421,318
1760858010000,RB2501,3043.93,3043.93,3027.1,3029.1,16008,319
1760858010000,HC2501,2956.23,2965.86,2953.86,2959.72,15943,319
1760858015000,RB2501,3029.99,3034.53,3013.21,3024.35,16315,316
1760858015000,HC2501,2959.9,2962.38,2940.56,2944.99,16246,316
1760858020000,RB2501,3023.78,3039.48,3021.48,3033.68,16059,319
1760858020000,HC2501,2945.8,2946.48,2929.54,2931.51,15479,319
1760858025000,RB2501,3032.71,3042.28,3025.33,3028.01,15598,316
1760858025000,HC2501,2932.36,2941.54,2930.76,2941.54,16408,316
1760858030000,RB2501,3028.14,3033.62,3021.66,3033.49,15895,315
1760858030000,HC2501,2940.59,2944.9,2929.56,2939.54,16181,315
1760858035000,RB2501,3033.98,3040.98,3017.15,3021.95,16083,317
1760858035000,HC2501,2939.88,2940.33,2928.32,2933.24,15987,317
1760858040000,RB2501,3020.98,3026.96,3016.94,3026.04,15875,316
