ts,i,p,bp,ap,bv,av,v,to,oi,MA5,wall
1760823986786,HC2501,3057.8,3057.6,3058,25,34,59,180410,150000,3057.31,1760823986801
1760823986801,RB2501,3039.96,3039.76,3040.16,18,17,35,106399,124000,3040.02,1760823986802
1760823986801,HC2501,3057.36,3057.16,3057.56,26,3,29,88663.5,144000,3057.29,1760823986802
1760823986816,RB2501,3040.23,3040.03,3040.43,5,14,19,57764.3,128000,3039.87,1760823986832
1760823986816,HC2501,3058.25,3058.05,3058.45,35,43,78,238543,127000,3057.59,1760823986832
1760823986832,RB2501,3040.82,3040.62,3041.02,38,16,54,164204,103000,3040.03,1760823986833
1760823986832,HC2501,3058.13,3057.93,3058.33,35,24,59,180430,144000,3057.73,1760823986833
1760823986847,RB2501,3040.57,3040.37,3040.77,44,8,52,158110,127000,3040.32,1760823986863
1760823986847,HC2501,3057.55,3057.35,3057.75,43,24,67,204856,150000,3057.82,1760823986864
1760823986863,RB2501,3040.23,3040.03,3040.43,50,47,97,294903,107000,3040.36,1760823986878
1760823986863,HC2501,3056.85,3056.65,3057.05,35,14,49,149786,108000,3057.63,1760823986879
1760823986878,RB2501,3040.01,3039.81,3040.21,48,38,86,261441,104000,3040.37,1760823986879
1760823986878,HC2501,3057.04,3056.84,3057.24,46,15,61,186480,129000,3057.57,1760823986879
1760823986894,RB2501,3040.75,3040.55,3040.95,26,28,54,164201,132000,3040.48,1760823986925
1760823986894,HC2501,3056.24,3056.04,3056.44,45,40,85,259781,125000,3057.17,1760823986925
1760823986910,RB2501,3040.91,3040.71,3041.11,34,1,35,106432,141000,3040.5,1760823986925
1760823986910,HC2501,3055.3,3055.1,3055.5,16,18,34,103880,107000,3056.6,1760823986925
1760823986925,RB2501,3040.02,3039.82,3040.22,30,43,73,221922,136000,3040.39,1760823986925
1760823986925,HC2501,3055.73,3055.53,3055.93,16,44,60,183344,136000,3056.23,1760823986925
1760823986940,RB2501,3039.65,3039.45,3039.85,28,14,42,127665,129000,3040.27,1760823986955
1760823986940,HC2501,3055.06,3054.86,3055.26,5,1,6,18330.4,101000,3055.88,1760823986955
1760823986955,RB2501,3039.77,3039.57,3039.97,10,27,37,112471,148000,3040.22,1760823986955
1760823986955,HC2501,3054.38,3054.18,3054.58,9,19,28,85522.7,123000,3055.34,1760823986955
1760823986970,RB2501,3040.28,3040.08,3040.48,2,28,30,91208.3,103000,3040.12,1760823987002
1760823986970,HC2501,3054.94,3054.74,3055.14,31,9,40,122198,131000,3055.08,1760823987003
1760823986986,RB2501,3040.47,3040.27,3040.67,29,42,71,215873,113000,3040.04,1760823987003
1760823986986,HC2501,3054.52,3054.32,3054.72,6,27,33,100799,105000,3054.93,1760823987003
1760823987002,RB2501,3040.86,3040.66,3041.06,46,4,50,152043,136000,3040.2,1760823987003
