t_start_ms,i,o,h,l,c,v,n
1760822275000,RB2501,3000.48,3002.48,2991.84,2995.23,5341,100
1760822275000,HC2501,3000.01,3009.24,2998.85,3009.24,5033,100
1760822280000,RB2501,2994.91,3005.12,2990.53,2993.82,16179,323
1760822280000,HC2501,3009.57,3014.32,2993.57,2999.12,16885,323
t_start_ms,i,o,h,l,c,v,n
1760822555000,RB2501,3000.19,3006.95,2999.51,3002.83,9953,186
1760822555000,HC2501,3000.5,3001.15,2994.11,2995.25,8881,186
t_start_ms,i,o,h,l,c,v,n
1760822665000,RB2501,3000.96,3002.46,2997.94,2998.11,3734,72
1760822665000,HC2501,2999.09,3007.22,2999.09,3004.23,3824,72
1760822670000,RB2501,2997.58,3012.36,2991.7,2992.6,16125,321
1760822670000,HC2501,3004.7,3018.09,3001.29,3015.96,15694,321
t_start_ms,i,o,h,l,c,v,n
1760822730000,RB2501,3000.76,3003.8,2997.18,3003.34,7308,150
1760822730000,HC2501,3000.05,3002.02,2992.3,3001.44,7731,150
1760822735000,RB2501,3002.76,3027.56,3001.21,3023.8,16911,322
1760822735000,HC2501,3000.72,3004.48,2967.56,2972.26,16272,322
1760822740000,RB2501,3023.76,3039.29,3019.63,3032.12,16072,323
1760822740000,HC2501,2971.87,2982.78,2966.66,2978.01,16034,323
1760822745000,RB2501,3031.45,3039.23,3025.92,3036.5,17159,323
1760822745000,HC2501,2978.15,2978.88,2968.95,2971.77,15659,323
1760822750000,RB2501,3036.02,3043.5,3024.21,3024.62,16404,322
1760822750000,HC2501,2971.58,2978.05,2969.4,2974.79,16365,322
1760822755000,RB2501,3024.41,3038.54,3024.41,3033.07,16705,322
1760822755000,HC2501,2973.92,2975.26,2960.95,2966.35,16791,322
1760822760000,RB2501,3033.38,3042.64,3027.82,3037.58,16762,323
1760822760000,HC2501,2966.25,2970.37,2959.72,2966.19,16592,323
1760822765000,RB2501,3038.38,3057.11,3036.01,3050.97,16294,322
1760822765000,HC2501,2966.24,2967.94,2950.98,2965.41,16540,322
1760822770000,RB2501,3051.41,3052.51,3044.02,3051.52,16712,322
1760822770000,HC2501,2965.91,2981.1,2962.43,2980.13,16128,322
1760822775000,RB2501,3050.7,3050.78,3035.94,3043.45,16388,323
1760822775000,HC2501,2980.71,2985.59,2977.04,2985.2,15874,323
1760822780000,RB2501,3043.92,3045.27,3033.55,3041.97,16545,322
1760822780000,HC2501,2986.12,2994.54,2984.14,2992.58,17204,322
1760822785000,RB2501,3041.04,3047.49,3035.57,3037.7,16701,323
1760822785000,HC2501,2992.25,2998.7,2988.84,2990.83,16893,323
1760822790000,RB2501,3038.19,3042.15,3030.14,3041.23,15983,322
1760822790000,HC2501,2990.37,2999.86,2979.09,2984.7,16285,322
1760822795000,RB2501,3040.77,3042.42,3018.38,3022.24,16977,322
1760822795000,HC2501,2984.46,2995.79,2983.74,2986.62,16133,322
1760822800000,RB2501,3022.38,3025.02,3009.44,3009.44,16643,322
1760822800000,HC2501,2986.38,2998.02,2985.34,2990.86,16589,322
1760822805000,RB2501,3009.52,3024.13,3006.17,3021.95,16777,322
1760822805000,HC2501,2990.44,2998.06,2987.3,2993,16357,322
1760822810000,RB2501,3022.72,3030.48,3007.5,3007.5,15930,322
1760822810000,HC2501,2992.45,3000.1,2981.64,2998.69,16900,322
t_start_ms,i,o,h,l,c,v,n
1760823195000,RB2501,2999.67,3004.08,2990.95,2997.98,14681,289
1760823195000,HC2501,3000.45,3002.95,2985.01,2987.41,14346,289
1760823200000,RB2501,2998.25,3004.18,2978.21,2979.01,16495,322
1760823200000,HC2501,2986.76,2993.93,2980.95,2992.81,16552,322
1760823205000,RB2501,2978.62,2982.22,2962.73,2966.7,16575,323
1760823205000,HC2501,2993.1,2994.14,2977.54,2981.54,17024,323
1760823210000,RB2501,2966.03,2975.72,2963.27,2972.94,16166,322
1760823210000,HC2501,2982.25,3000.19,2979.03,2997.6,17124,322
1760823215000,RB2501,2973.11,2988.86,2971.42,2985.48,16764,323
1760823215000,HC2501,2997.38,3006.14,2994.31,2995.71,17368,323
1760823220000,RB2501,2984.61,2985.15,2954.88,2955.57,17115,323
1760823220000,HC2501,2996.33,3015.32,2995.69,3000.08,16580,323
1760823225000,RB2501,2956.1,2956.26,2945.7,2948.7,17732,323
1760823225000,HC2501,3000.86,3019.3,2994.78,3019.21,16729,323
1760823230000,RB2501,2948.89,2955.94,2947.24,2952.87,16197,323
1760823230000,HC2501,3018.65,3023.48,3006.42,3006.42,16415,323
1760823235000,RB2501,2952.92,2956.06,2945.96,2950.33,16049,323
1760823235000,HC2501,3005.5,3010.54,2992.6,2995.57,16948,323
1760823240000,RB2501,2951.05,2953.16,2941.05,2945.66,16608,322
